tweet,location,request_type,urgency
Children in Cuttack require urgent Food & Supplies support.,Cuttack,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Leh. Please help.,Leh,Food & Supplies,Urgent
Looking for volunteers in Imphal for Medical help.,Imphal,Medical,Non-Urgent
Community in Indore asking for Humanitarian assistance.,Indore,Humanitarian,Non-Urgent
Medical emergency reported in Lucknow. Need Food & Supplies.,Lucknow,Food & Supplies,Non-Urgent
"Family stranded in Shillong, require Humanitarian.",Shillong,Humanitarian,Non-Urgent
Looking for volunteers in Ahmedabad for Medical help.,Ahmedabad,Medical,Urgent
Children in Bengaluru require urgent Food & Supplies support.,Bengaluru,Food & Supplies,Urgent
"Family stranded in Jaipur, require Medical.",Jaipur,Medical,Non-Urgent
"Family stranded in Kochi, require Medical.",Kochi,Medical,Non-Urgent
"Family stranded in Chandigarh, require Food & Supplies.",Chandigarh,Food & Supplies,Urgent
"Family stranded in Vadodara, require Humanitarian.",Vadodara,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Imphal.,Imphal,Medical,Non-Urgent
Looking for volunteers in Aizawl for Medical help.,Aizawl,Medical,Urgent
Requesting Medical support in Kolkata. Please help.,Kolkata,Medical,Non-Urgent
Need immediate assistance in Indore. Situation critical.,Indore,Food & Supplies,Non-Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Medical,Non-Urgent
Requesting Medical support in Chandigarh. Please help.,Chandigarh,Medical,Urgent
Requesting Humanitarian support in Siliguri. Please help.,Siliguri,Humanitarian,Urgent
Children in Chennai require urgent Humanitarian support.,Chennai,Humanitarian,Urgent
Community in Bengaluru asking for Food & Supplies assistance.,Bengaluru,Food & Supplies,Urgent
Need immediate assistance in Goa. Situation critical.,Goa,Medical,Urgent
Medical emergency reported in Hyderabad. Need Food & Supplies.,Hyderabad,Food & Supplies,Non-Urgent
Medical emergency reported in Pune. Need Food & Supplies.,Pune,Food & Supplies,Non-Urgent
Looking for volunteers in Thiruvananthapuram for Medical help.,Thiruvananthapuram,Medical,Non-Urgent
"Supplies running low in Srinagar, need Food & Supplies.",Srinagar,Food & Supplies,Non-Urgent
"Family stranded in Kanpur, require Food & Supplies.",Kanpur,Food & Supplies,Urgent
Community in Patna asking for Humanitarian assistance.,Patna,Humanitarian,Urgent
Children in Shillong require urgent Medical support.,Shillong,Medical,Urgent
Medical emergency reported in Surat. Need Humanitarian.,Surat,Humanitarian,Non-Urgent
Requesting Medical support in Gurugram. Please help.,Gurugram,Medical,Urgent
Children in Noida require urgent Food & Supplies support.,Noida,Food & Supplies,Urgent
"Family stranded in Shillong, require Food & Supplies.",Shillong,Food & Supplies,Non-Urgent
Community in Mysuru asking for Humanitarian assistance.,Mysuru,Humanitarian,Urgent
Looking for volunteers in Siliguri for Medical help.,Siliguri,Medical,Urgent
Medical emergency reported in Chandigarh. Need Food & Supplies.,Chandigarh,Food & Supplies,Urgent
Medical emergency reported in Noida. Need Humanitarian.,Noida,Humanitarian,Urgent
Looking for volunteers in Leh for Humanitarian help.,Leh,Humanitarian,Urgent
Community in Lucknow asking for Humanitarian assistance.,Lucknow,Humanitarian,Non-Urgent
Community in Udaipur asking for Humanitarian assistance.,Udaipur,Humanitarian,Urgent
Community in Chandigarh asking for Medical assistance.,Chandigarh,Medical,Urgent
"Supplies running low in Chennai, need Medical.",Chennai,Medical,Urgent
Senior citizens need Medical assistance in Gurugram.,Gurugram,Medical,Non-Urgent
Requesting Food & Supplies support in Mysuru. Please help.,Mysuru,Food & Supplies,Urgent
Community in Coimbatore asking for Humanitarian assistance.,Coimbatore,Humanitarian,Urgent
Urgent call for Medical aid in Cuttack.,Cuttack,Medical,Non-Urgent
Requesting Medical support in Srinagar. Please help.,Srinagar,Medical,Urgent
Community in Shillong asking for Medical assistance.,Shillong,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Delhi.,Delhi,Food & Supplies,Non-Urgent
Medical emergency reported in Vadodara. Need Medical.,Vadodara,Medical,Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Medical,Non-Urgent
Community in Delhi asking for Medical assistance.,Delhi,Medical,Urgent
Community in Mysuru asking for Humanitarian assistance.,Mysuru,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Guwahati.,Guwahati,Medical,Urgent
Requesting Humanitarian support in Coimbatore. Please help.,Coimbatore,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Jaipur.,Jaipur,Humanitarian,Urgent
Children in Leh require urgent Food & Supplies support.,Leh,Food & Supplies,Urgent
Need immediate assistance in Lucknow. Situation critical.,Lucknow,Humanitarian,Non-Urgent
Need immediate assistance in Kanpur. Situation critical.,Kanpur,Humanitarian,Non-Urgent
Looking for volunteers in Goa for Humanitarian help.,Goa,Humanitarian,Urgent
"Supplies running low in Imphal, need Medical.",Imphal,Medical,Non-Urgent
Urgent call for Medical aid in Vadodara.,Vadodara,Medical,Urgent
Children in Agartala require urgent Humanitarian support.,Agartala,Humanitarian,Non-Urgent
Community in Bhopal asking for Food & Supplies assistance.,Bhopal,Food & Supplies,Urgent
"Family stranded in Jammu, require Medical.",Jammu,Medical,Urgent
Senior citizens need Humanitarian assistance in Mysuru.,Mysuru,Humanitarian,Urgent
Requesting Humanitarian support in Vadodara. Please help.,Vadodara,Humanitarian,Non-Urgent
Medical emergency reported in Guwahati. Need Humanitarian.,Guwahati,Humanitarian,Urgent
Looking for volunteers in Indore for Humanitarian help.,Indore,Humanitarian,Non-Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Food & Supplies,Urgent
Urgent call for Humanitarian aid in Mysuru.,Mysuru,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Nagpur.,Nagpur,Food & Supplies,Urgent
Need immediate assistance in Ahmedabad. Situation critical.,Ahmedabad,Humanitarian,Urgent
"Family stranded in Hyderabad, require Food & Supplies.",Hyderabad,Food & Supplies,Urgent
Community in Guwahati asking for Humanitarian assistance.,Guwahati,Humanitarian,Non-Urgent
Children in Coimbatore require urgent Medical support.,Coimbatore,Medical,Non-Urgent
Children in Hyderabad require urgent Medical support.,Hyderabad,Medical,Non-Urgent
Children in Hyderabad require urgent Food & Supplies support.,Hyderabad,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Chennai.,Chennai,Humanitarian,Urgent
Need immediate assistance in Ranchi. Situation critical.,Ranchi,Medical,Non-Urgent
Need immediate assistance in Hyderabad. Situation critical.,Hyderabad,Medical,Urgent
Medical emergency reported in Chennai. Need Food & Supplies.,Chennai,Food & Supplies,Non-Urgent
"Supplies running low in Goa, need Food & Supplies.",Goa,Food & Supplies,Urgent
Looking for volunteers in Nagpur for Food & Supplies help.,Nagpur,Food & Supplies,Urgent
"Family stranded in Mumbai, require Food & Supplies.",Mumbai,Food & Supplies,Urgent
Community in Bhubaneswar asking for Food & Supplies assistance.,Bhubaneswar,Food & Supplies,Non-Urgent
Requesting Medical support in Cuttack. Please help.,Cuttack,Medical,Urgent
Medical emergency reported in Pune. Need Medical.,Pune,Medical,Urgent
"Supplies running low in Lucknow, need Food & Supplies.",Lucknow,Food & Supplies,Urgent
"Family stranded in Delhi, require Humanitarian.",Delhi,Humanitarian,Non-Urgent
"Supplies running low in Thiruvananthapuram, need Humanitarian.",Thiruvananthapuram,Humanitarian,Non-Urgent
Children in Mysuru require urgent Humanitarian support.,Mysuru,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Goa.,Goa,Humanitarian,Urgent
Looking for volunteers in Vadodara for Food & Supplies help.,Vadodara,Food & Supplies,Urgent
"Family stranded in Indore, require Humanitarian.",Indore,Humanitarian,Urgent
Community in Noida asking for Humanitarian assistance.,Noida,Humanitarian,Non-Urgent
"Supplies running low in Patna, need Medical.",Patna,Medical,Urgent
Children in Surat require urgent Humanitarian support.,Surat,Humanitarian,Non-Urgent
"Supplies running low in Gurugram, need Food & Supplies.",Gurugram,Food & Supplies,Urgent
"Supplies running low in Kochi, need Food & Supplies.",Kochi,Food & Supplies,Non-Urgent
Looking for volunteers in Surat for Humanitarian help.,Surat,Humanitarian,Urgent
"Family stranded in Lucknow, require Food & Supplies.",Lucknow,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Siliguri. Please help.,Siliguri,Humanitarian,Urgent
Community in Jammu asking for Humanitarian assistance.,Jammu,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Gurugram.,Gurugram,Medical,Urgent
Urgent call for Humanitarian aid in Ranchi.,Ranchi,Humanitarian,Non-Urgent
Urgent call for Medical aid in Agartala.,Agartala,Medical,Non-Urgent
Medical emergency reported in Goa. Need Food & Supplies.,Goa,Food & Supplies,Urgent
"Supplies running low in Hyderabad, need Humanitarian.",Hyderabad,Humanitarian,Non-Urgent
Medical emergency reported in Udaipur. Need Humanitarian.,Udaipur,Humanitarian,Urgent
Requesting Humanitarian support in Noida. Please help.,Noida,Humanitarian,Non-Urgent
Medical emergency reported in Vadodara. Need Medical.,Vadodara,Medical,Urgent
Looking for volunteers in Chennai for Medical help.,Chennai,Medical,Urgent
Urgent call for Humanitarian aid in Nagpur.,Nagpur,Humanitarian,Non-Urgent
Looking for volunteers in Pune for Humanitarian help.,Pune,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Goa. Please help.,Goa,Food & Supplies,Non-Urgent
Need immediate assistance in Chandigarh. Situation critical.,Chandigarh,Medical,Non-Urgent
"Supplies running low in Bhopal, need Medical.",Bhopal,Medical,Urgent
Urgent call for Food & Supplies aid in Kanpur.,Kanpur,Food & Supplies,Urgent
Senior citizens need Medical assistance in Bhopal.,Bhopal,Medical,Urgent
"Family stranded in Indore, require Medical.",Indore,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Chandigarh.,Chandigarh,Humanitarian,Urgent
Requesting Food & Supplies support in Aizawl. Please help.,Aizawl,Food & Supplies,Non-Urgent
"Supplies running low in Mumbai, need Humanitarian.",Mumbai,Humanitarian,Non-Urgent
Children in Chandigarh require urgent Food & Supplies support.,Chandigarh,Food & Supplies,Non-Urgent
Looking for volunteers in Aizawl for Food & Supplies help.,Aizawl,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Siliguri.,Siliguri,Humanitarian,Urgent
Children in Vadodara require urgent Medical support.,Vadodara,Medical,Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Medical,Urgent
Urgent call for Medical aid in Chandigarh.,Chandigarh,Medical,Urgent
Requesting Medical support in Chennai. Please help.,Chennai,Medical,Urgent
Community in Warangal asking for Food & Supplies assistance.,Warangal,Food & Supplies,Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Humanitarian,Urgent
Need immediate assistance in Aizawl. Situation critical.,Aizawl,Food & Supplies,Urgent
Children in Vadodara require urgent Food & Supplies support.,Vadodara,Food & Supplies,Urgent
Requesting Food & Supplies support in Ranchi. Please help.,Ranchi,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Pune.,Pune,Humanitarian,Urgent
Medical emergency reported in Delhi. Need Food & Supplies.,Delhi,Food & Supplies,Non-Urgent
Children in Nagpur require urgent Medical support.,Nagpur,Medical,Non-Urgent
"Supplies running low in Itanagar, need Food & Supplies.",Itanagar,Food & Supplies,Urgent
Requesting Medical support in Shillong. Please help.,Shillong,Medical,Non-Urgent
Looking for volunteers in Bhubaneswar for Food & Supplies help.,Bhubaneswar,Food & Supplies,Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Medical,Non-Urgent
Senior citizens need Medical assistance in Warangal.,Warangal,Medical,Non-Urgent
Senior citizens need Medical assistance in Gurugram.,Gurugram,Medical,Urgent
Urgent call for Humanitarian aid in Indore.,Indore,Humanitarian,Urgent
Requesting Food & Supplies support in Chennai. Please help.,Chennai,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Lucknow. Please help.,Lucknow,Humanitarian,Urgent
"Family stranded in Nagpur, require Humanitarian.",Nagpur,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Chandigarh.,Chandigarh,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Chandigarh. Please help.,Chandigarh,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Gurugram.,Gurugram,Food & Supplies,Urgent
Need immediate assistance in Shillong. Situation critical.,Shillong,Humanitarian,Urgent
Need immediate assistance in Leh. Situation critical.,Leh,Humanitarian,Urgent
Looking for volunteers in Jammu for Food & Supplies help.,Jammu,Food & Supplies,Non-Urgent
Children in Warangal require urgent Humanitarian support.,Warangal,Humanitarian,Non-Urgent
Looking for volunteers in Udaipur for Humanitarian help.,Udaipur,Humanitarian,Urgent
Looking for volunteers in Bhubaneswar for Humanitarian help.,Bhubaneswar,Humanitarian,Urgent
"Supplies running low in Cuttack, need Food & Supplies.",Cuttack,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Agartala.,Agartala,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Cuttack.,Cuttack,Medical,Non-Urgent
Medical emergency reported in Guwahati. Need Humanitarian.,Guwahati,Humanitarian,Non-Urgent
Requesting Humanitarian support in Leh. Please help.,Leh,Humanitarian,Urgent
Medical emergency reported in Chennai. Need Medical.,Chennai,Medical,Urgent
Senior citizens need Humanitarian assistance in Chennai.,Chennai,Humanitarian,Non-Urgent
Children in Kolkata require urgent Food & Supplies support.,Kolkata,Food & Supplies,Urgent
Requesting Medical support in Patna. Please help.,Patna,Medical,Non-Urgent
Children in Hyderabad require urgent Humanitarian support.,Hyderabad,Humanitarian,Urgent
Looking for volunteers in Thiruvananthapuram for Food & Supplies help.,Thiruvananthapuram,Food & Supplies,Urgent
Urgent call for Food & Supplies aid in Delhi.,Delhi,Food & Supplies,Urgent
Medical emergency reported in Udaipur. Need Humanitarian.,Udaipur,Humanitarian,Urgent
Urgent call for Humanitarian aid in Jammu.,Jammu,Humanitarian,Urgent
Medical emergency reported in Surat. Need Medical.,Surat,Medical,Urgent
Senior citizens need Food & Supplies assistance in Nagpur.,Nagpur,Food & Supplies,Non-Urgent
Medical emergency reported in Itanagar. Need Humanitarian.,Itanagar,Humanitarian,Urgent
"Family stranded in Jaipur, require Medical.",Jaipur,Medical,Non-Urgent
Looking for volunteers in Coimbatore for Medical help.,Coimbatore,Medical,Non-Urgent
Requesting Food & Supplies support in Ahmedabad. Please help.,Ahmedabad,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Bhubaneswar.,Bhubaneswar,Food & Supplies,Non-Urgent
Requesting Medical support in Pune. Please help.,Pune,Medical,Non-Urgent
Requesting Humanitarian support in Delhi. Please help.,Delhi,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Guwahati.,Guwahati,Food & Supplies,Urgent
Medical emergency reported in Shillong. Need Humanitarian.,Shillong,Humanitarian,Non-Urgent
"Family stranded in Chandigarh, require Food & Supplies.",Chandigarh,Food & Supplies,Non-Urgent
Community in Ranchi asking for Food & Supplies assistance.,Ranchi,Food & Supplies,Non-Urgent
Medical emergency reported in Imphal. Need Humanitarian.,Imphal,Humanitarian,Urgent
Children in Kanpur require urgent Humanitarian support.,Kanpur,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Thiruvananthapuram.,Thiruvananthapuram,Food & Supplies,Urgent
Looking for volunteers in Kochi for Humanitarian help.,Kochi,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Siliguri.,Siliguri,Humanitarian,Urgent
